sub_name,super_name,sub,super,baselevel
Kontrabass,Streichinstrument,4032300-6,4058020-9,
Bassetthorn,Klarinette,4391544-9,4030938-1,
Kielinstrument,Tasteninstrument,4123511-3,4059103-7,
Tuba,Blechblasinstrument,4061130-9,4135632-9,
Diskantgambe,Viola_da_Gamba,4338345-2,4127766-1,
Tomtom,Trommel,1085190633,4117255-3,
Basse_de_viole,Viola_da_Gamba,4253014-3,4127766-1,
Panflöte,Flöte,4044462-4,4154647-7,
Althorn,Blechblasinstrument,1204269548,4135632-9,
Viola_tenore,Viola,4463388-9,4188364-0,
Bandura,Zupfinstrument,4318453-4,4129682-5,
Bassklarinette,Klarinette,4414463-5,4030938-1,
Tiba,Blasinstrument,1051768543,4130897-9,
Knopfakkordeon,Harmonikainstrument,1031985735,4123343-8,
Schneckenhorn,Blechblasinstrument,1129292088,4135632-9,
Spinett,Kielinstrument,4056269-4,4123511-3,
Harfe,Zupfinstrument,4129456-7,4129682-5,
Marimba,Idiophon,4168894-6,4129454-3,
Harmonium,Tasteninstrument,4159135-5,4059103-7,
Banjo,Zupfinstrument,4267789-0,4129682-5,
Saitenklavier,Tasteninstrument,4178934-9,4059103-7,
Contradon,Blechblasinstrument,1073880974,4135632-9,
Chalumeau,Rohrblattinstrument,4231682-0,4131176-0,
Trompete,Blechblasinstrument,4060993-5,4135632-9,
Akkordeon,Harmonikainstrument,4122772-4,4123343-8,
Triangel,Schlaginstrument,4801084-4,4137283-9,
Violine,Streichinstrument,4019791-8,4058020-9,
Mezzosopran,Stimme,4425470-2,1124630767,
Sopran,Stimme,4392005-6,1124630767,
Alt,Stimme,4270768-7,1124630767,
Tenor,Stimme,4184718-0,1124630767,
Bariton,Stimme,4242467-7,1124630767,
Bass,Stimme,4712215-8,1124630767,
Pauke,Schlaginstrument,4173567-5,4137283-9,
Naturtrompete,Trompete,4472841-4,4060993-5,
Carnyx,Signalinstrument,1197582363,4813609-8,
Signalhorn,Signalinstrument,4338340-3,4813609-8,
Cornu,Signalinstrument,1123675783,4813609-8,
Lituus,Signalinstrument,7595348-1,4813609-8,
Kontrabassblockflöte,Blockflöte,1123165904,4146029-7,
Sopranblockflöte,Blockflöte,7612127-6,4146029-7,
Txistu,Blockflöte,1211361632,4146029-7,
Bassblockflöte,Blockflöte,4806190-6,4146029-7,
Stockflöte,Blockflöte,4299918-2,4146029-7,
Altblockflöte,Blockflöte,7612124-0,4146029-7,
Flageolett,Blockflöte,7684056-6,4146029-7,
Bassposaune,Posaune,4807591-7,4046865-3,
Cimbasso,Posaune,1206371218,4046865-3,
Kontrabassposaune,Posaune,4286171-8,4046865-3,
Altposaune,Posaune,1143266196,4046865-3,
Tenorsaxofon,Saxofon,7694555-8,4179250-6,
Basssaxofon,Saxofon,1204293457,4179250-6,
Sopransaxofon,Saxofon,7694554-6,4179250-6,
Altsaxofon,Saxofon,7694553-4,4179250-6,
Kontrabasssaxofon,Saxofon,7851466-6,4179250-6,
Baritonsaxofon,Saxofon,7694558-3,4179250-6,
Langhalslaute,Laute,4237751-1,4166936-8,
Biwa,Kurzhalslaute,4315917-5,4306439-5,
Kurzhalslaute,Laute,4306439-5,4166936-8,
Çiftelia,Laute,1207550116,4166936-8,
Satsumabiwa,Laute,4341618-4,4166936-8,
Busuki,Laute,4280371-8,4166936-8,
Tar,Langhalslaute,4237752-3,4237751-1,
Mandola,Laute,4168776-0,4166936-8,
Kobsa,Kurzhalslaute,4304950-3,4306439-5,
Ud,Kurzhalslaute,4495608-3,4306439-5,
Dutār,Langhalslaute,7670557-2,4237751-1,
Colascione,Langhalslaute,7744554-5,4237751-1,
Erzlaute,Laute,4799248-7,4166936-8,
Sitar,Langhalslaute,4181587-7,4237751-1,
Tanbur,Langhalslaute,4424903-2,4237751-1,
Angelica,Laute,4757921-3,4166936-8,
Viola_de_cocho,Kurzhalslaute,113918914X,4306439-5,
Pluriarc,Laute,1094925543,4166936-8,
Cuatro,Gitarre,7854468-3,4124933-1,
Bassgitarre,Gitarre,7661383-5,4124933-1,
Tres,Gitarre,7668063-0,4124933-1,
Harfengitarre,Gitarre,7670555-9,4124933-1,
Tiple,Gitarre,7542435-6,4124933-1,
Barockgitarre,Gitarre,4402847-7,4124933-1,
Ukulele,Gitarre,4460491-9,4124933-1,
Signalinstrument,Blasinstrument,4813609-8,4130897-9,
