"uid_local","uid_foreign","sorting","sorting_foreign"
"156","3680","1","0"
"157","3772","2","0"
"157","4352","1","0"
"157","6226","1","0"
"158","1","1","0"
"158","480","3","0"
"158","1541","2","0"
"158","4791","1","0"
"159","1","1","0"
"161","17","1","0"
"161","3772","3","0"
"161","3852","2","0"
"161","4352","2","0"
"163","1","1","0"
"164","459","2","0"
"164","2562","1","0"
"164","5296","1","0"
"165","1","2","0"
"165","17","1","0"
"166","1","1","0"
"167","1","2","0"
"167","17","1","0"
"170","1697","2","0"
"170","3584","1","0"
"170","6322","1","0"
"171","1","1","0"
"172","1","1","0"
"172","402","5","0"
"172","768","3","0"
"172","3274","4","0"
"172","3924","2","0"
"172","4265","1","0"
"172","4270","3","0"
"173","1","1","0"
"174","1","2","0"
"174","17","1","0"
"175","1","2","0"
"175","17","1","0"
"176","1","2","0"
"176","17","1","0"
"177","402","2","0"
"177","768","1","0"
"177","4228","1","0"
"178","1","2","0"
"178","17","1","0"
"179","1","1","0"
"180","1","1","0"
"183","402","2","0"
"183","768","1","0"
"183","4712","1","0"
"184","1","1","0"
"185","402","4","0"
"185","768","2","0"
"185","3165","3","0"
"185","3410","1","0"
"185","3413","2","0"
"185","3849","1","0"
"186","402","11","0"
"186","453","8","0"
"186","457","9","0"
"186","473","7","0"
"186","768","5","0"
"186","1697","10","0"
"186","3584","4","0"
"186","4612","1","0"
"186","4614","2","0"
"186","4616","3","0"
"186","5158","1","0"
"186","5160","2","0"
"186","5162","3","0"
"186","5164","4","0"
"186","5166","5","0"
"186","5168","6","0"
"187","8","1","0"
"187","3165","3","0"
"187","3849","2","0"
"187","3897","1","0"
"188","1","2","0"
"188","17","1","0"
"189","3165","2","0"
"189","3849","1","0"
"189","4419","1","0"
"190","1697","2","0"
"190","3584","1","0"
"190","4422","1","0"
"191","1697","2","0"
"191","3101","1","0"
"191","3584","1","0"
"192","1","1","0"
"193","1","1","0"
"194","1","1","0"
"195","1","1","0"
"200","402","12","0"
"200","451","7","0"
"200","453","9","0"
"200","457","10","0"
"200","473","8","0"
"200","768","6","0"
"200","1697","11","0"
"200","3584","5","0"
"200","4610","1","0"
"200","4612","2","0"
"200","4614","3","0"
"200","4616","4","0"
"200","6327","1","0"
"200","6329","2","0"
"200","6331","3","0"
"200","6333","4","0"
"200","6335","5","0"
"200","6337","6","0"
"201","1697","2","0"
"201","3584","1","0"
"201","3746","1","0"
"202","1","2","0"
"202","17","1","0"
"203","1","1","0"
"204","1697","2","0"
"204","3584","1","0"
"204","4432","1","0"
"205","1","2","0"
"205","17","1","0"
"206","1","1","0"
"208","1","1","0"
"209","1","2","0"
"209","17","1","0"
"210","1","1","0"
"211","1697","2","0"
"211","3584","1","0"
"211","4442","1","0"
"212","1","1","0"
"213","1","1","0"
"214","1","1","0"
"215","1","2","0"
"215","17","1","0"
"216","1","1","0"
"217","1","1","0"
"217","453","3","0"
"217","3569","1","0"
"217","4614","2","0"
"218","1","2","0"
"218","455","3","0"
"218","4675","1","0"
"219","1","2","0"
"219","17","1","0"
"220","1","1","0"
"221","1","1","0"
"222","1","2","0"
"222","17","1","0"
"223","4","2","0"
"223","17","1","0"
"224","1","2","0"
"224","17","1","0"
"225","1","2","0"
"225","17","1","0"
"226","451","5","0"
"226","453","7","0"
"226","457","8","0"
"226","473","6","0"
"226","3874","1","0"
"226","3876","2","0"
"226","3878","3","0"
"226","3880","4","0"
"226","4610","1","0"
"226","4612","2","0"
"226","4614","3","0"
"226","4616","4","0"
"227","1","2","0"
"227","17","1","0"
"228","1","1","0"
"229","1","2","0"
"229","17","1","0"
"230","1","1","0"
"231","1","1","0"
"233","1","1","0"
"233","451","7","0"
"233","453","9","0"
"233","457","10","0"
"233","473","8","0"
"233","1697","11","0"
"233","3346","1","0"
"233","3348","2","0"
"233","3350","3","0"
"233","3352","4","0"
"233","3354","5","0"
"233","3584","6","0"
"233","4610","2","0"
"233","4612","3","0"
"233","4614","4","0"
"233","4616","5","0"
"234","1697","2","0"
"234","3584","1","0"
"234","3754","1","0"
"235","1","1","0"
"236","3165","2","0"
"236","3849","1","0"
"236","3885","1","0"
"238","1","1","0"
"239","1","2","0"
"239","5","1","0"
"240","1","1","0"
"242","1","2","0"
"242","17","1","0"
"243","3165","2","0"
"243","3849","1","0"
"243","3891","1","0"
"244","1","1","0"
"244","451","3","0"
"244","3380","1","0"
"244","4610","2","0"
"245","1","1","0"
"245","457","3","0"
"245","4616","2","0"
"245","5999","1","0"
"246","1","2","0"
"246","17","1","0"
"247","1","1","0"
"248","1","2","0"
"248","17","1","0"
"249","402","8","0"
"249","453","5","0"
"249","457","6","0"
"249","768","4","0"
"249","3165","7","0"
"249","3368","1","0"
"249","3370","2","0"
"249","3372","3","0"
"249","3375","4","0"
"249","3849","3","0"
"249","4614","1","0"
"249","4616","2","0"
"251","1","1","0"
"252","1","1","0"
"253","1","1","0"
"254","1","1","0"
"255","1","1","0"
"256","1","1","0"
"257","1","1","0"
"258","1","2","0"
"258","17","1","0"
"259","1697","2","0"
"259","3584","1","0"
"259","4673","1","0"
"260","1","1","0"
"261","1","1","0"
"262","1","1","0"
"263","1","1","0"
"264","1","1","0"
"265","4","2","0"
"265","3738","1","0"
"266","1","2","0"
"266","17","1","0"
"267","1","2","0"
"267","17","1","0"
"268","1","1","0"
"268","457","3","0"
"268","3422","1","0"
"268","4616","2","0"
"269","1","1","0"
"269","457","3","0"
"269","3459","1","0"
"269","4616","2","0"
"270","1","1","0"
"271","1","1","0"
"271","451","4","0"
"271","473","5","0"
"271","3765","1","0"
"271","3767","2","0"
"271","4610","2","0"
"271","4612","3","0"
"272","1","2","0"
"272","17","1","0"
"273","1","2","0"
"273","17","1","0"
"274","1","1","0"
"275","1","1","0"
"276","1","1","0"
"277","1","1","0"
"278","1","1","0"
"279","1","2","0"
"279","17","1","0"
"280","1","1","0"
"281","1","2","0"
"281","17","1","0"
"282","1","2","0"
"282","17","1","0"
"283","1","1","0"
"283","3274","3","0"
"283","3924","2","0"
"283","4306","1","0"
"284","5","1","0"
"284","9","2","0"
"284","10","3","0"
"285","5","1","0"
"285","9","2","0"
"285","10","3","0"
