"Historisches_Lied","Lied"
"Arabeske","Charakterstück"
"Autorenlied","Lied"
"Kammerkonzert","Konzert"
"Jig","Volkstanzmusik"
"Politisches_Lied","Historisches_Lied"
"Kirchenkantate","Kantate"
"Intrada","Instrumentalmusik"
"Pavane","Höfische_Tanzmusik"
"Kavatine","Vokalmusik"
"Sonatine","Sonate"
"Violinkonzert","Konzert"
"Concerto_grosso","Concerto"
"Notturno","Charakterstück"
"Choralvorspiel","Choralbearbeitung"
"Motette","Vokalmusik"
"Responsorium","Gregorianischer_Gesang"
"Hornpipe","Volkstanzmusik"
"Rhapsodie","Charakterstück"
"Glee","Vokalmusik"
"Psalmmotette","Motette"
"Siebensprung","Volkstanzmusik"
"Pastorale","Instrumentalmusik"
"Konzertstück","konzertante_Formen"
"Lied_ohne_Worte","Charakterstück"
"Sepolcro","Oratorium"
"Sinfonie","Orchestermusik"
"Kriegslied","Lied"
"Kassation","Instrumentalmusik"
"Anthem","Motette"
"Tokkata","Präludium"
"Konzertouvertüre","Ouvertüre"
"Ricercar","Instrumentalmusik"
"Arie","Vokalmusik"
"Militärmarsch","Marschmusik"
"Cabaletta","Arie"
"Intermezzo","Instrumentalmusik"
"Guaracha","Lied"
"Orchestermusik","Instrumentalmusik"
"Tropus","Gregorianischer_Gesang"
"Passionsmusik","Geistliche_Vokalmusik"
"Sonate","Instrumentalmusik"
"Ballet_d_action","Oper"
"Suite","Instrumentalmusik"
"Gallikanischer_Gesang","Liturgischer_Gesang"
"Rebetiko","Lied"
"Communio_Gesang","Liturgischer_Gesang"
"Znamennyj_Gesang","Liturgischer_Gesang"
"Generalmarsch","Militärmarsch"
"Kammersinfonie","Sinfonie"
"Da_capo_Arie","Arie"
"Cantus_firmus_Motette","Motette"
"Duetto_notturno","Lied"
"Präludium","Instrumentalmusik"
"Singspiel","Oper"
"Vokalise","Vokalmusik"
"Jácara","Romanze"
"Höfische_Tanzmusik","Tanzmusik"
"Madrigal","Vokalmusik"
"Tarantella","Volkstanzmusik"
"Serenade","Vokalmusik"
"Ballata","Tanzlied"
"Differenzen","Psalmodie"
"Mozarabischer_Gesang","Gallikanischer_Gesang"
"Mazurka","Volkstanzmusik"
"Pizzica","Tarantella"
"Oratorium","Vokalmusik"
"Opernarie","Arie"
"Opera_seria","Oper"
"Symphonie_concertante","konzertante_Formen"
"Auswandererlied","Politisches_Lied"
"Tanzlied","Tanzmusik"
"Ouvertüre","Sinfonia"
"Choralfantasie","Fantasie"
"Volkstanzmusik","Tanzmusik"
"Padoana","Höfische_Tanzmusik"
"Berceuse","Charakterstück"
"Gregorianischer_Gesang","Liturgischer_Gesang"
"Fughetta","Fuge"
"Verbeta","Tropus"
"Marschmusik","Instrumentalmusik"
"Kirchensonate","Sonate"
"Lied","Vokalmusik"
"Preghiera","Opernarie"
"Messvertonung","Geistliche_Vokalmusik"
"Charakterstück","Instrumentalmusik"
"Air","Lied"
"Choralbearbeitung","Instrumentalmusik"
"Ariette","Arie"
"Orchesterlied","Lied"
"Kantate","Vokalmusik"
"Chamamé","Volkstanzmusik"
"Sinfonietta","Sinfonie"
"Divertimento","Instrumentalmusik"
"Barkarole","Lied"
"Tanzmusik","Instrumentalmusik"
"Quodlibet","Vokalmusik"
"Klavierkonzert","Konzert"
"Catch","Vokalmusik"
"Novellette","Charakterstück"
"Partsong","Vokalmusik"
"Moment_musical","Charakterstück"
"Kammersonate","Sonate"
"Jota","Volkstanzmusik"
"Kanzone","Lied"
"Fantasie","Instrumentalmusik"
"Konzert","konzertante_Formen"
"Concerto","konzertante_Formen"
"Liturgischer_Gesang","Geistliche_Vokalmusik"
"Sinfonia","Orchestermusik"
"Oper","Vokalmusik"
"Chorfuge","Vokalmusik"
"Romanze","Vokalmusik"
"Psalmodie","Liturgischer_Gesang"
"Fuge","Instrumentalmusik"
"konzertante_Formen","Instrumentalmusik"
"Choral","Liturgischer_Gesang"
"Geistliche_Vokalmusik","Vokalmusik"
"Ballett","Tanzmusik"
